# Joint_A_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-17.3340, 27.7469, 10.0629, 156.8724, 225.8724, -18.7469, 247.0105, 13.9755, 72.9840, -68.2480
-17.1591, 27.6656, 9.9219, 156.9322, 225.9322, -18.6656, 247.1515, 14.0701, 72.8811, -68.2611
-16.9603, 27.5239, 9.7140, 156.9567, 225.9567, -18.5239, 247.3595, 14.0970, 72.7794, -68.2674
-16.7851, 27.3679, 9.4714, 156.9845, 225.9845, -18.3679, 247.6021, 14.0626, 72.6615, -68.2883
-16.6392, 27.2330, 9.2728, 156.9557, 225.9557, -18.2330, 247.8006, 14.0129, 72.6121, -68.2969
-16.4852, 27.1199, 9.1067, 156.9566, 225.9566, -18.1199, 247.9667, 14.0206, 72.5498, -68.3016
-16.3228, 27.0056, 8.9101, 157.0240, 226.0240, -18.0056, 248.1633, 14.0394, 72.4188, -68.3281
-16.1646, 26.8921, 8.7398, 156.9198, 225.9199, -17.8921, 248.3337, 14.0105, 72.4548, -68.3292
-15.9994, 26.7617, 8.5481, 157.0265, 226.0265, -17.7617, 248.5253, 14.0395, 72.2852, -68.3420
-15.8201, 26.6635, 8.4018, 157.0019, 226.0019, -17.6635, 248.6716, 14.0917, 72.2587, -68.3412
-15.6353, 26.5347, 8.2100, 157.0317, 226.0317, -17.5347, 248.8635, 14.1167, 72.1637, -68.3491
-15.4626, 26.3733, 7.9600, 156.9373, 225.9373, -17.3733, 249.1134, 14.0234, 72.1635, -68.3647
-15.2697, 26.2440, 7.7754, 157.0481, 226.0481, -17.2440, 249.2980, 14.0910, 71.9955, -68.3712
